,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
53,WApbYk,35-44 years old,1,"At the office, At home",Other,Don't purchase on the go,Americano,"Milk, dairy alternative, or coffee creamer","Oat milk, Soy milk",Don't add swetener,Nutty,Medium,Light,Full caffeine,7.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,,"I need the ritual, It tastes good",Yes,Yes,$8-$10,$4-$6,Yes,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,1,No affiliation
54,eBxG20,35-44 years old,3,"At home, At the office","Espresso, Pour over, French press, Cold brew",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Nutty,Somewhat strong,Medium,Half caff,8.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,Coffee A,Coffee D,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",No,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Independent
56,NAB2qB,25-34 years old,2,At home,Espresso,Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the ritual",Yes,No,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
57,RzBqoJ,35-44 years old,2,At home,"Espresso, Cold brew, Pour over",Don't purchase on the go,Cold brew,No - just black,Don't add diary,Don't add swetener,Nutty,Medium,Light,Full caffeine,7.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"I need the ritual, It tastes good, I need the caffeine",Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
61,5dqajd,25-34 years old,More than 4,"At home, At a cafe",Other,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"I need the ritual, I need the caffeine, It tastes good",Yes,Yes,$6-$8,More than $20,Yes,$300-$500,No,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
62,VZ1W0E,35-44 years old,More than 4,"At home, At a cafe","Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Bold,Very strong,Medium,Full caffeine,8.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,No affiliation
63,NABN5G,45-54 years old,More than 4,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Other",Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Bold,Somewhat strong,Dark,Half caff,6.0,2.0,5.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,,,,0,
64,6dQY8o,25-34 years old,2,"At home, At a cafe, On the go, At the office","Pour over, Espresso",Specialty coffee shop,Cappuccino,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,>$100,"It tastes good, I need the ritual",Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
65,WAp6va,45-54 years old,More than 4,At home,"Espresso, Bean-to-cup machine, Pour over",Don't purchase on the go,Espresso,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Bold,Somewhat strong,Dark,Full caffeine,8.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,Coffee B,Coffee D,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the ritual, I need the caffeine",Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Master's degree,Hispanic/Latino,Employed full-time,3,Independent
67,OABqQp,35-44 years old,2,"On the go, At a cafe, At the office",,"Local cafe, National chain (e.g. Starbucks, Dunkin)",Latte,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black","Whole milk, Half and half, Flavored coffee creamer","Raw Sugar (Turbinado), Brown Sugar",Sweet,Very strong,Medium,Full caffeine,3.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$6-$8,Yes,$20-$50,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,No affiliation
70,jB9r21,25-34 years old,1,"At home, At a cafe","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,I need the ritual,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
71,pLPYLE,25-34 years old,2,"At the office, On the go",,"Drive-thru, National chain (e.g. Starbucks, Dunkin)",Iced coffee,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Caramalized,Very strong,Light,Full caffeine,8.0,4.0,3.0,5.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
74,g5NPxK,25-34 years old,2,"At home, At the office","Espresso, Pour over",Don't purchase on the go,Cappuccino,"No - just black, Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,9.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,4.0,Coffee C,Coffee D,Coffee D,,$40-$60,It tastes good,Yes,Yes,$15-$20,$15-$20,No,"More than $1,000",Yes,Male,,,,0,
75,bl41kE,25-34 years old,2,"At home, At a cafe, On the go","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)","Specialty coffee shop, Drive-thru, Local cafe, National chain (e.g. Starbucks, Dunkin)",Pourover,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Nutty,Somewhat strong,Light,Full caffeine,7.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
76,GrBO1z,45-54 years old,2,"At home, At the office","Pour over, French press",Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer","Half and half, Whole milk",Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,Democrat
77,xdN8Q9,25-34 years old,2,"At home, At a cafe, On the go","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Local cafe,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Very strong,Light,Full caffeine,8.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,It tastes good,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Independent
78,vNx8Xv,35-44 years old,1,At home,French press,Don't purchase on the go,Cold brew,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,2.0,3.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Unemployed,1,Democrat
79,dY2JPN,18-24 years old,2,"At home, At a cafe",Pour over,Don't purchase on the go,Pourover,"Milk, dairy alternative, or coffee creamer",Coffee creamer,Don't add swetener,Nutty,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Male,,,,0,
80,MAdjLE,35-44 years old,2,At home,"Espresso, Pour over",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Nordic,Full caffeine,9.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,Coffee A,Coffee D,Coffee D,I do a mix of both,>$100,It tastes good,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Democrat
81,6dQ6xo,25-34 years old,3,"At the office, At home","Espresso, Pour over",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Skim milk,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,It tastes good,Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
82,7d97lZ,25-34 years old,2,"At home, At the office",Coffee extract (e.g. Cometeer),Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Full Bodied,Medium,Dark,Full caffeine,3.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,Coffee B,Coffee D,Coffee B,I do a mix of both,>$100,"I need the caffeine, It tastes good",Yes,Yes,$8-$10,$15-$20,Yes,$20-$50,No,Female,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,0,Democrat
83,0EjqPQ,25-34 years old,3,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,7.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,1.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$15-$20,No,$300-$500,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,1,No affiliation
84,BGbJD4,25-34 years old,1,At the office,,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Medium,Light,Full caffeine,2.0,1.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"I need the caffeine, I need the ritual, It makes me go to the bathroom, It tastes good",No,Yes,$6-$8,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Democrat
85,9dJYbp,25-34 years old,3,"At home, At the office","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, No - just black",Whole milk,Don't add swetener,Chocolatey,Medium,Light,Full caffeine,8.0,1.0,1.0,5.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,Coffee A,Coffee A,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$15-$20,$10-$15,No,$100-$300,Yes,Male,Master's degree,Hispanic/Latino,Student,0,No affiliation
86,xdNbJ9,25-34 years old,1,"At home, On the go, At the office, At a cafe",Espresso,"National chain (e.g. Starbucks, Dunkin)",Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Very strong,Medium,Full caffeine,6.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$8-$10,$8-$10,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
88,pLPNQJ,35-44 years old,1,"At home, On the go",Pour over,Local cafe,Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,1.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"I need the ritual, I need the caffeine, It makes me go to the bathroom, It tastes good",Yes,Yes,$6-$8,$6-$8,No,$300-$500,Yes,Female,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,2,No affiliation
89,AlbMLW,25-34 years old,2,"At home, At a cafe","Pour over, Other",Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Decaf,7.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Independent
90,EPboPq,25-34 years old,3,At home,"Pour over, Cold brew",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Full Bodied,Medium,Medium,Full caffeine,3.0,2.0,3.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,3.0,3.0,1.0,Coffee A,Coffee A,Coffee C,I primarily work in person,>$100,"It tastes good, I need the caffeine",Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,No affiliation
91,ylq8yW,25-34 years old,3,"At home, At the office, On the go, At a cafe","Espresso, Coffee brewing machine (e.g. Mr. Coffee)","Local cafe, National chain (e.g. Starbucks, Dunkin)",Americano,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Light,Full caffeine,7.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,Coffee C,Coffee D,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,$10-$15,No,$20-$50,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
92,J2kEDz,45-54 years old,1,"At the office, At home","Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Cappuccino,"No - just black, Milk, dairy alternative, or coffee creamer",Coffee creamer,Don't add swetener,Nutty,Somewhat strong,Medium,Decaf,5.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,5.0,1.0,1.0,4.0,2.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Yes,$4-$6,$4-$6,No,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,Independent
93,24x9Lg,25-34 years old,2,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Light,Full caffeine,6.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$10-$15,No,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,No affiliation
94,0EjYb6,35-44 years old,3,At home,"Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work in person,>$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Independent
95,ZdRb6a,25-34 years old,2,At home,"Espresso, Pour over",Don't purchase on the go,Cortado,"No - just black, Milk, dairy alternative, or coffee creamer","Whole milk, Oat milk",Don't add swetener,Nutty,Somewhat strong,Medium,Full caffeine,7.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$15-$20,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Independent
96,WApbdP,25-34 years old,3,"At the office, At home",Other,Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Floral,Medium,Light,Full caffeine,7.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual, I need the caffeine",Yes,No,$8-$10,More than $20,No,$300-$500,Yes,Male,Bachelor's degree,Hispanic/Latino,Employed full-time,1,Democrat
97,24xY69,18-24 years old,2,At home,"French press, Cold brew",Don't purchase on the go,Cold brew,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,2.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$20-$40,"I need the ritual, It tastes good",Yes,Yes,$8-$10,,Yes,$20-$50,Yes,Male,Some college or associate's degree,Asian/Pacific Islander,Student,0,No affiliation
98,RzBqWd,25-34 years old,1,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,5.0,2.0,5.0,4.0,5.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"I need the ritual, It tastes good",Yes,Yes,$4-$6,$6-$8,,$100-$300,Yes,Male,,,,0,
